desired_joint, measured_joint
0.704003, 0.704003
0.704003, 0.704003
0.704002, 0.703907
0.703996, 0.704003
0.70398, 0.703907
0.703948, 0.704003
0.703897, 0.704003
0.703821, 0.704003
0.703717, 0.703907
0.703579, 0.703907
0.703404, 0.704003
0.703188, 0.703907
0.702926, 0.703907
0.702616, 0.703907
0.702253, 0.703811
0.701835, 0.703715
0.701357, 0.70362
0.700817, 0.703332
0.700212, 0.703044
0.699539, 0.702565
0.698795, 0.701894
0.697977, 0.701223
0.697083, 0.700456
0.696111, 0.699593
0.695058, 0.698634
0.693922, 0.697771
0.692702, 0.696908
0.691395, 0.695758
0.69, 0.694511
0.688515, 0.693073
0.686938, 0.691827
0.685268, 0.690389
0.683504, 0.688663
0.681645, 0.687225
0.679689, 0.685883
0.677635, 0.683869
0.675484, 0.681952
0.673233, 0.680322
0.670882, 0.678596
0.668432, 0.6762
0.66588, 0.673611
0.663227, 0.671022
0.660473, 0.668146
0.657617, 0.665462
0.65466, 0.662681
0.651601, 0.659422
0.648441, 0.656545
0.64518, 0.653669
0.641817, 0.650505
0.638354, 0.647629
0.634791, 0.643986
0.631128, 0.641589
0.627366, 0.639096
0.623506, 0.635837
0.619548, 0.631714
0.615494, 0.627591
0.611343, 0.624811
0.607099, 0.62251
0.60276, 0.618771
0.598329, 0.613594
0.593807, 0.609375
0.589194, 0.605732
0.584493, 0.602568
0.579705, 0.598254
0.57483, 0.592981
0.569872, 0.588379
0.564831, 0.58464
0.559708, 0.581284
0.554507, 0.577258
0.549227, 0.571026
0.543872, 0.565944
0.538443, 0.562301
0.532942, 0.559233
0.527371, 0.554535
0.521731, 0.549166
0.516026, 0.549166
0.510256, 0.538237
0.504425, 0.53421
0.498534, 0.529321
0.492585, 0.522801
0.486581, 0.516665
0.480524, 0.512447
0.474417, 0.508995
0.468261, 0.504106
0.462059, 0.497299
0.455814, 0.490204
0.449527, 0.486848
0.443202, 0.483013
0.43684, 0.477932
0.430445, 0.469975
0.424018, 0.463359
0.417563, 0.459716
0.411082, 0.455785
0.404577, 0.450512
0.398051, 0.443034
0.391507, 0.436035
0.384947, 0.432008
0.378373, 0.428173
0.37179, 0.422996
0.365198, 0.415039
0.358601, 0.407848
0.352002, 0.403917
0.345402, 0.400466
0.338805, 0.394713
0.332213, 0.386564
0.32563, 0.379182
0.319056, 0.376018
0.312496, 0.372279
0.305952, 0.367102
0.299426, 0.359528
0.292921, 0.353008
0.28644, 0.348981
0.279985, 0.345242
0.273558, 0.33949
0.267163, 0.332875
0.260801, 0.324629
0.254476, 0.318206
0.248189, 0.312837
0.241944, 0.305455
0.235742, 0.299702
0.229586, 0.29347
0.223479, 0.287143
0.217422, 0.280623
0.211418, 0.275158
0.205469, 0.269023
0.199578, 0.262599
0.193747, 0.256655
0.187977, 0.250615
0.182272, 0.244766
0.176632, 0.239206
0.171061, 0.233933
0.16556, 0.227413
0.160131, 0.222332
0.154776, 0.216292
0.149496, 0.211019
0.144295, 0.205746
0.139172, 0.201048
0.134131, 0.195583
0.129173, 0.191077
0.124298, 0.184845
0.11951, 0.180339
0.114809, 0.175545
0.110196, 0.170464
0.105674, 0.16567
0.101243, 0.160301
0.0969045, 0.156754
0.0926596, 0.153494
0.0885095, 0.149659
0.0844551, 0.14592
0.0804974, 0.140935
0.0766372, 0.137292
0.0728753, 0.134799
0.0692124, 0.131156
0.0656491, 0.127608
0.062186, 0.123773
0.0588234, 0.120993
0.0555619, 0.118788
0.0524016, 0.115816
0.0493428, 0.111981
0.0463856, 0.108434
0.0435299, 0.105941
0.0407759, 0.104119
0.0381231, 0.102106
0.0355715, 0.0987503
0.0331207, 0.0957782
0.0307701, 0.0935731
0.0285193, 0.0920391
0.0263676, 0.0902175
0.0243142, 0.0882041
0.0223583, 0.0855196
0.0204988, 0.0837939
0.0187348, 0.082164
0.0170651, 0.0803424
0.0154883, 0.0786167
0.014003, 0.0767951
0.0126077, 0.0767951
0.0113008, 0.0744941
0.0100805, 0.0731519
0.00894501, 0.0719055
0.00789221, 0.0705633
0.00692005, 0.0698922
0.00602627, 0.0691252
0.00520851, 0.0682623
0.00446428, 0.0672077
0.00379096, 0.066249
0.0031858, 0.0658655
0.00264591, 0.0653861
0.00216828, 0.064715
0.00174977, 0.0641397
0.00138707, 0.0636604
0.00107678, 0.0634686
0.000815324, 0.0632769
0.000598999, 0.0629892
0.000423961, 0.0627016
0.000286216, 0.062414
0.00018163, 0.0621264
0.000105917, 0.0621264
5.46442e-05, 0.0619346
2.32287e-05, 0.0619346
6.93485e-06, 0.0618388
8.73417e-07, 0.0618388
0, 0.0619346
0, 0.0618388
0, 0.0618388
0, 0.0618388
0, 0.0617429
0, 0.0617429
0, 0.0618388
0, 0.0618388
0, 0.0618388
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0618388
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.0617429
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
0, 0.061647
4.33066e-07, 0.061647
3.43851e-06, 0.061647
1.15175e-05, 0.061647
2.70942e-05, 0.061647
5.25167e-05, 0.061647
9.00575e-05, 0.061647
0.000141915, 0.061647
0.000210212, 0.061647
0.000297002, 0.061647
0.000404262, 0.061647
0.0005339, 0.0617429
0.000687752, 0.0617429
0.000867587, 0.061647
0.0010751, 0.061647
0.00131192, 0.0617429
0.00157961, 0.0617429
0.00187967, 0.0617429
0.00221352, 0.0618388
0.00258253, 0.0618388
0.002988, 0.0619346
0.00343117, 0.0620305
0.0039132, 0.0621264
0.0044352, 0.0625099
0.00499824, 0.0629892
0.00560329, 0.0634686
0.00625129, 0.0641397
0.00694311, 0.064715
0.00767955, 0.0651943
0.00846138, 0.0658655
0.0092893, 0.0667283
0.0101639, 0.0674953
0.0110859, 0.0683582
0.0120557, 0.0692211
0.0130738, 0.0700839
0.0141407, 0.0710427
0.0152567, 0.0719055
0.0164222, 0.073056
