desired_joint, measured_joint
0.00584832, 0.00584832
0.00584832, 0.00584832
0.00584831, 0.00584832
0.00584826, 0.00584832
0.00584812, 0.00584832
0.00584786, 0.00584832
0.00584744, 0.00584832
0.00584681, 0.00584832
0.00584594, 0.00584832
0.00584479, 0.00575244
0.00584334, 0.00584832
0.00584154, 0.00584832
0.00583937, 0.00584832
0.00583679, 0.00584832
0.00583378, 0.00584832
0.0058303, 0.00584832
0.00582634, 0.00584832
0.00582185, 0.00575244
0.00581682, 0.00584832
0.00581123, 0.00584832
0.00580505, 0.00584832
0.00579825, 0.00584832
0.00579083, 0.00584832
0.00578275, 0.00584832
0.00577401, 0.00584832
0.00576457, 0.00584832
0.00575444, 0.00584832
0.00574358, 0.00584832
0.00573199, 0.00575244
0.00571965, 0.00584832
0.00570655, 0.00584832
0.00569268, 0.00584832
0.00567803, 0.00575244
0.00566258, 0.00584832
0.00564633, 0.00584832
0.00562927, 0.00584832
0.0056114, 0.00584832
0.0055927, 0.00584832
0.00557318, 0.00584832
0.00555282, 0.00584832
0.00553162, 0.00584832
0.00550958, 0.00584832
0.0054867, 0.00584832
0.00546298, 0.00584832
0.00543841, 0.00584832
0.005413, 0.00584832
0.00538675, 0.00584832
0.00535966, 0.00584832
0.00533172, 0.00584832
0.00530295, 0.00584832
0.00527335, 0.00584832
0.00524292, 0.00575244
0.00521167, 0.00575244
0.00517961, 0.00575244
0.00514673, 0.00575244
0.00511305, 0.00575244
0.00507857, 0.00575244
0.00504331, 0.00565657
0.00500727, 0.00565657
0.00497046, 0.00556069
0.00493289, 0.00556069
0.00489457, 0.00556069
0.00485552, 0.00556069
0.00481574, 0.00536895
0.00477525, 0.00536895
0.00473406, 0.00536895
0.00469218, 0.00527307
0.00464963, 0.00527307
0.00460642, 0.00527307
0.00456256, 0.0051772
0.00451807, 0.0051772
0.00447297, 0.0051772
0.00442727, 0.00508132
0.00438099, 0.0051772
0.00433414, 0.00508132
0.00428674, 0.0051772
0.00423882, 0.00508132
0.00419037, 0.00508132
0.00414143, 0.00508132
0.00409202, 0.00498545
0.00404214, 0.00498545
0.00399183, 0.00498545
0.00394109, 0.00488958
0.00388995, 0.00488958
0.00383843, 0.0047937
0.00378655, 0.00469783
0.00373432, 0.0047937
0.00368178, 0.00469783
0.00362893, 0.00460195
0.0035758, 0.00450608
0.00352242, 0.00450608
0.00346879, 0.00441021
0.00341495, 0.00450608
0.00336091, 0.00441021
0.0033067, 0.00431433
0.00325234, 0.00431433
0.00319784, 0.00431433
0.00314324, 0.00421846
0.00308854, 0.00412258
0.00303378, 0.00402671
0.00297898, 0.00393084
0.00292416, 0.00383496
0.00286933, 0.00373909
0.00281453, 0.00373909
0.00275977, 0.00364321
0.00270508, 0.00364321
0.00265047, 0.00364321
0.00259598, 0.00364321
0.00254161, 0.00354734
0.0024874, 0.00354734
0.00243336, 0.00354734
0.00237952, 0.00354734
0.0023259, 0.00354734
0.00227251, 0.00354734
0.00221938, 0.00345147
0.00216654, 0.00345147
0.00211399, 0.00345147
0.00206177, 0.00335559
0.00200988, 0.00335559
0.00195836, 0.00335559
0.00190723, 0.00325972
0.00185649, 0.00335559
0.00180617, 0.00325972
0.0017563, 0.00316384
0.00170688, 0.00306797
0.00165794, 0.00306797
0.0016095, 0.00306797
0.00156157, 0.0029721
0.00151417, 0.0029721
0.00146733, 0.00287622
0.00142104, 0.00278035
0.00137534, 0.00278035
0.00133024, 0.00268447
0.00128576, 0.00249272
0.0012419, 0.0025886
0.00119869, 0.00249272
0.00115614, 0.00249272
0.00111426, 0.00230098
0.00107307, 0.00210923
0.00103257, 0.00210923
0.000992797, 0.00210923
0.000953743, 0.00201335
0.000915427, 0.00201335
0.000877859, 0.00201335
0.000841049, 0.00201335
0.000805008, 0.00201335
0.000769745, 0.00201335
0.000735269, 0.00191748
